pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1691 b,Kepler-1691,2020,3.8482,0.0514,1.838276,,1324.0,5753.0,1.21,1.221,1315.6,1,1
Kepler-1692 b,Kepler-1692,2020,5.95966,0.0646,1.109691,,898.0,4935.73,0.94,1.012,601.22,1,1
Kepler-1693 b,Kepler-1693,2020,12.0999,0.1015,1.289035,,729.0,5432.34,0.8783,0.95,760.065,2,1
Kepler-1693 c,Kepler-1693,2017,5.363709927,0.0588,0.9769091859999999,,1059.0,5432.34,0.8783,0.95,760.065,2,1
Kepler-1694 b,Kepler-1694,2020,3.89526,0.0426,1.176945,,841.0,4958.0,0.72,0.675,521.0,1,1
Kepler-1695 b,Kepler-1695,2020,4.7329,0.0526,1.1209,,954.0,5437.0,0.95,0.865,809.5,1,1
Kepler-1696 b,Kepler-1696,2020,65.9409,0.3245,2.813459,,454.0,5379.0,1.27,1.047,1571.34,1,1
Kepler-1697 Ab,Kepler-1697 A,2020,33.4969,0.2008,1.255408,,630.0,4681.53,0.772,0.747,247.771,1,1
Kepler-1698 b,Kepler-1698,2020,1.2107,0.0199,1.076064,,1356.0,4945.83,0.74,0.717,223.78,1,1
Kepler-1699 b,Kepler-1699,2020,3.49082,0.0417,1.56926,,1013.0,5214.4,0.724,0.791,,1,1
Kepler-169 b,Kepler-169,2014,3.250619,0.04,1.132109,,,4997.0,0.76,0.86,411.34,5,1
Kepler-169 c,Kepler-169,2014,6.195469,0.062,1.210572,,,4997.0,0.76,0.86,411.34,5,1
Kepler-169 d,Kepler-169,2014,8.348125,0.075,1.255408,,,4997.0,0.76,0.86,411.34,5,1
Kepler-169 e,Kepler-169,2014,13.767102,0.105,2.196964,,,4997.0,0.76,0.86,411.34,5,1
Kepler-169 f,Kepler-169,2014,87.090195,0.359,2.57807,,,4997.0,0.76,0.86,411.34,5,1
Kepler-16 (AB)b,Kepler-16 (AB),2011,228.776,0.7048,8.4493442,105.82740000000001,,4450.0,0.65,0.8499,,1,1
Kepler-1700 b,Kepler-1700,2020,234.239,0.8017,2.903131,,335.0,5885.0,1.14,1.249,732.73,1,1
Kepler-1701 b,Kepler-1701,2020,169.134,0.5689,2.219382,,278.0,5116.26,0.83,0.864,594.1,1,1
Kepler-1702 b,Kepler-1702,2020,18.5012,0.1281,1.6028869999999997,,557.0,5003.75,0.74,0.829,878.23,1,1
Kepler-1703 b,Kepler-1703,2016,21.1876185,0.1462,1.1903958,,785.0,6001.0,1.255,0.858,887.064,2,1
Kepler-1703 c,Kepler-1703,2016,31.8245304,0.1911,1.2094511,,686.0,6001.0,1.255,0.858,887.064,2,1
Kepler-1704 b,Kepler-1704,2017,988.88112,2.027,11.948794,1322.048,253.8,5746.0,1.697,1.132,824.0,1,1
Kepler-1705 b,Kepler-1705,2017,9.03502,0.08,2.0299499,4.468268,789.0,5775.0,0.768,0.838,,2,1
Kepler-1705 c,Kepler-1705,2017,11.28,0.0416,2.0501261,5.41849,1095.0,5775.0,0.768,0.838,,2,1
Kepler-1706 b,Kepler-1706,2021,2.073549,,,,,6118.0,1.574,1.22,721.105,1,1
Kepler-1707 b,Kepler-1707,2021,1.701531,,,,,5459.0,0.894,0.966,,1,1
Kepler-1708 b,Kepler-1708,2021,737.1131,1.64,9.9603174,1461.8799999999999,,6157.0,1.117,1.088,1667.0,1,1
Kepler-1709 b,Kepler-1709,2017,65.70459747,0.3192,3.12406039,,454.0,5789.91,1.135,1.039,273.946,1,1
Kepler-170 b,Kepler-170,2014,7.930592,0.08,3.1945649999999994,,,5679.0,1.03,,754.64,2,1
Kepler-170 c,Kepler-170,2014,16.665863,0.131,2.858295,,,5679.0,1.03,,754.64,2,1
Kepler-1710 Ab,Kepler-1710 A,2017,14.91094205,0.1157,2.5870372,3.4948466000000002,694.0,5572.0,0.91,0.983,305.193,1,1
Kepler-1711 Ab,Kepler-1711 A,2017,21.06080055,0.1463,1.9230160399999998,,669.0,5745.26,1.09,1.034,590.268,1,1
Kepler-1712 Bb,Kepler-1712 B,2017,13.81499958,0.0903,2.28304912,,391.0,3833.0,0.583,0.574,156.264,1,1
